ID,tube,avg_diameter,culture,Treatment,tube ,pigment,avg_mean,Female
H_eg_1_1,H_eg_1,91.54299999999999,HA111_PL,A,11,42,250.9692842,1
H_eg_1_1,H_eg_1,98.849,HA111_PL,A,11,50,261.7525588,1
H_eg_1_1,H_eg_1,94.71466666666667,HA111_PL,A,11,50,249.2559654,1
H_eg_1_1,H_eg_1,95.27866666666667,HA111_PL,A,11,53,268.4236215,1
H_eg_1_1,H_eg_1,92.36533333333333,HA111_PL,A,11,54,247.0209344,1
H_eg_1_1,H_eg_1,93.51599999999999,HA111_PL,A,11,54,256.228368,1
H_eg_1_1,H_eg_1,88.12066666666666,HA111_PL,A,11,48,235.1459989,1
H_eg_1_1,H_eg_1,88.41633333333333,HA111_PL,A,11,46,260.4996662,1
H_eg_1_1,H_eg_1,91.531,HA112_PL,A,11,56,233.9897775,1
H_eg_1_1,H_eg_1,105.553,HA112_PL,A,11,48,247.4409405,1
H_eg_1_1,H_eg_1,96.54466666666667,HA112_PL,A,11,53,247.1920844,1
H_eg_1_1,H_eg_1,94.77266666666667,HA112_PL,A,11,50,251.6501597,1
H_eg_1_1,H_eg_1,94.423,HA112_PL,A,11,62,249.0296066,1
H_eg_1_1,H_eg_1,89.79566666666666,HA112_PL,A,11,60,258.0813035,1
H_eg_1_1,H_eg_1,100.77499999999999,HA112_PL,A,11,53,258.6338808,1
H_eg_1_1,H_eg_1,93.883,HA112_PL,A,11,41,244.1545689,1
H_eg_1_1,H_eg_1,93.13166666666666,HA112_PL,A,11,52,264.2819876,1
H_eg_1_1,H_eg_1,94.092,HA112_PL,A,11,55,259.5218032,1
H_eg_1_1,H_eg_1,93.321,HA112_PL,A,11,61,256.9559672,1
H_eg_1_1,H_eg_1,99.36,HA112_PL,A,11,57,242.1134332,1
H_eg_1_2,H_eg_1,89.26766666666667,HA112_PL,A,11,60,255.9264798,1
H_eg_1_2,H_eg_1,94.792,HA112_PL,A,11,67,236.0482839,1
H_eg_1_2,H_eg_1,95.33233333333334,HA112_PL,A,11,56,251.1892106,1
H_eg_1_2,H_eg_1,95.18066666666667,HA112_PL,A,11,60,233.9148839,1
H_eg_1_2,H_eg_1,94.79533333333333,HA112_PL,A,11,51,242.6986397,1
H_eg_1_2,H_eg_1,93.13933333333333,HA112_PL,A,11,62,229.1825526,1
H_eg_1_2,H_eg_1,93.16466666666666,HA112_PL,A,11,58,252.3010915,1
H_eg_1_2,H_eg_1,92.53733333333334,HA112_PL,A,11,61,241.9963157,1
H_eg_1_2,H_eg_1,91.443,HA112_PL,A,11,50,246.6970671,1
H_eg_1_2,H_eg_1,90.07533333333333,HA112_PL,A,11,48,228.3096821,1
H_eg_1_2,H_eg_1,90.044,HA112_PL,A,11,49,231.3844963,1
H_eg_1_2,H_eg_1,93.663,HA121_PL,A,12,49,262.6767456,1
H_eg_1_2,H_eg_1,95.83533333333334,HA121_PL,A,12,43,247.8734885,1
H_eg_1_2,H_eg_1,93.10966666666667,HA121_PL,A,12,64,250.0014707,1
H_eg_1_2,H_eg_1,90.08733333333333,HA121_PL,A,12,42,247.4736376,1
H_eg_1_2,H_eg_1,94.22866666666667,HA121_PL,A,12,49,267.7664019,1
H_eg_1_2,H_eg_1,95.568,HA121_PL,A,12,63,234.9581886,1
H_eg_1_2,H_eg_1,95.59366666666666,HA121_PL,A,12,48,247.0134431,1
H_eg_1_2,H_eg_1,95.59933333333333,HA121_PL,A,12,54,239.7989037,1
H_eg_1_2,H_eg_1,90.50766666666667,HA121_PL,A,12,51,240.3584592,1
H_eg_1_3,H_eg_1,99.51066666666667,HA121_PL,A,12,37,225.7007627,1
H_eg_1_3,H_eg_1,97.80866666666667,HA121_PL,A,12,49,249.7502312,1
H_eg_1_3,H_eg_1,90.25666666666667,HA121_PL,A,12,45,235.650937,1
H_eg_1_3,H_eg_1,95.69766666666666,HA121_PL,A,12,41,224.2860589,1
H_eg_1_3,H_eg_1,95.90566666666666,HA121_PL,A,12,55,252.9552638,1
H_eg_1_3,H_eg_1,92.802,HA121_PL,A,12,54,249.9630331,1
H_eg_1_3,H_eg_1,95.40766666666667,HA121_PL,A,12,59,237.1247492,1
H_eg_1_3,H_eg_1,89.74,HA121_PL,A,12,60,251.2504717,1
H_eg_1_3,H_eg_1,102.54166666666666,HA122_PL,A,12,63,241.9626831,1
