culture,Sample_ID,stack,Treatment,tube ,pigment,avg_mean
HA111_PL,HA111_PL_1,Stack4,A,11,51,254.5443869
HA111_PL,HA111_PL_1,Stack5,A,11,42,250.9692842
HA111_PL,HA111_PL_1,Stack6,A,11,63,250.6941108
HA111_PL,HA111_PL_1,Stack7,A,11,50,261.7525588
HA111_PL,HA111_PL_1,Stack8,A,11,50,249.2559654
HA111_PL,HA111_PL_1,Stack9,A,11,53,268.4236215
HA111_PL,HA111_PL_1,Stack10,A,11,50,231.1815026
HA111_PL,HA111_PL_1,Stack11,A,11,54,247.0209344
HA111_PL,HA111_PL_2,Stack1,A,11,52,251.6581839
HA111_PL,HA111_PL_2,Stack2,A,11,54,256.228368
HA111_PL,HA111_PL_2,Stack3,A,11,53,265.0477938
HA111_PL,HA111_PL_2,Stack4,A,11,49,265.0350163
HA111_PL,HA111_PL_2,Stack5,A,11,40,240.4924867
HA111_PL,HA111_PL_2,Stack6,A,11,45,247.6822526
HA111_PL,HA111_PL_2,Stack7,A,11,51,239.8211541
HA111_PL,HA111_PL_2,Stack9,A,11,43,259.3631873
HA111_PL,HA111_PL_2,Stack10,A,11,54,236.8412581
HA111_PL,HA111_PL_3,Stack1,A,11,40,231.8267498
HA111_PL,HA111_PL_3,Stack2,A,11,48,260.5090721
HA111_PL,HA111_PL_3,Stack3,A,11,48,289.8029404
HA111_PL,HA111_PL_3,Stack4,A,11,53,252.962509
HA111_PL,HA111_PL_3,Stack5,A,11,52,283.1733889
HA111_PL,HA111_PL_3,Stack6,A,11,46,264.472001
HA111_PL,HA111_PL_3,Stack7,A,11,44,240.192998
HA111_PL,HA111_PL_3,Stack8,A,11,58,253.1875181
HA111_PL,HA111_PL_3,Stack9,A,11,48,235.1459989
HA111_PL,HA111_PL_3,Stack10,A,11,46,260.4996662
HA112_PL,HA112_PL_1,Stack1,A,11,56,233.9897775
HA112_PL,HA112_PL_1,Stack2,A,11,48,247.4409405
HA112_PL,HA112_PL_1,Stack3,A,11,51,261.1356768
HA112_PL,HA112_PL_1,Stack4,A,11,53,247.1920844
HA112_PL,HA112_PL_1,Stack5,A,11,50,251.6501597
HA112_PL,HA112_PL_1,Stack6,A,11,62,249.0296066
HA112_PL,HA112_PL_1,Stack7,A,11,60,258.0813035
HA112_PL,HA112_PL_1,Stack8,A,11,53,258.6338808
HA112_PL,HA112_PL_1,Stack9,A,11,41,244.1545689
HA112_PL,HA112_PL_1,Stack10,A,11,52,264.2819876
HA112_PL,HA112_PL_2,Stack1,A,11,55,259.5218032
HA112_PL,HA112_PL_2,Stack2,A,11,61,256.9559672
HA112_PL,HA112_PL_2,Stack3,A,11,57,242.1134332
HA112_PL,HA112_PL_2,Stack4,A,11,53,242.7119063
HA112_PL,HA112_PL_2,Stack5,A,11,60,255.9264798
HA112_PL,HA112_PL_2,Stack6,A,11,67,236.0482839
HA112_PL,HA112_PL_2,Stack7,A,11,56,251.1892106
HA112_PL,HA112_PL_2,Stack8,A,11,53,
HA112_PL,HA112_PL_2,Stack9,A,11,60,233.9148839
HA112_PL,HA112_PL_2,Stack11,A,11,51,242.6986397
HA112_PL,HA112_PL_3,Stack1,A,11,62,229.1825526
HA112_PL,HA112_PL_3,Stack2,A,11,58,252.3010915
HA112_PL,HA112_PL_3,Stack3,A,11,61,241.9963157
HA112_PL,HA112_PL_3,Stack4,A,11,50,246.6970671
HA112_PL,HA112_PL_3,Stack5,A,11,48,228.3096821
